"Date","Price","Open","High","Low","Vol.","Change %"
"08/30/2008","903.1","903.0","904.4","901.6","0.08K","1.72%"
"08/29/2008","887.8","896.9","897.5","868.0","3.22K","-0.67%"
"08/28/2008","893.8","905.0","916.2","881.1","5.18K","-1.43%"
"08/27/2008","906.8","877.9","914.9","873.9","8.16K","3.30%"
"08/26/2008","877.8","920.0","922.5","865.8","10.29K","-4.37%"
"08/25/2008","917.9","900.8","926.0","892.2","4.61K","1.58%"
"08/23/2008","903.6","902.0","907.0","901.0","0.25K","0.02%"
"08/22/2008","903.4","918.6","934.5","893.1","10.38K","-2.28%"
"08/21/2008","924.5","874.0","935.0","866.8","15.49K","6.56%"
"08/20/2008","867.6","846.0","876.0","832.8","11.14K","2.57%"
"08/19/2008","845.9","792.1","850.4","791.1","8.57K","6.00%"
"08/18/2008","798.0","824.5","828.8","792.0","5.16K","-2.13%"
"08/16/2008","815.4","813.0","817.9","804.2","0.20K","-0.44%"
"08/14/2008","819.0","823.9","844.0","811.0","10.26K","-0.55%"
"08/13/2008","823.5","774.9","831.0","770.8","11.96K","6.84%"
"08/12/2008","770.8","762.2","776.7","752.1","7.01K","1.19%"
"08/11/2008","761.7","763.0","787.0","748.0","7.25K","0.45%"
"08/09/2008","758.3","761.5","763.5","756.1","0.14K","-0.45%"
"08/08/2008","761.7","798.0","805.6","756.3","7.33K","-4.03%"
"08/07/2008","793.7","756.0","802.9","754.6","11.08K","5.32%"
"08/06/2008","753.6","748.0","762.0","736.6","6.01K","0.90%"
"08/05/2008","746.9","773.1","776.0","742.6","5.77K","-3.77%"
"08/04/2008","776.2","799.0","799.0","772.0","3.96K","-2.33%"
"08/02/2008","794.7","786.4","800.0","786.4","0.19K","0.68%"
"08/01/2008","789.3","795.1","803.7","783.3","5.77K","-0.29%"
"07/31/2008","791.6","790.0","802.0","787.6","5.36K","0.61%"
"07/30/2008","786.8","776.0","793.0","764.9","5.38K","1.77%"
"07/29/2008","773.1","800.0","808.7","770.2","5.83K","-3.82%"
"07/28/2008","803.8","781.1","808.5","771.0","7.25K","3.60%"
"07/26/2008","775.9","780.5","781.0","774.7","0.21K","-0.70%"
"07/25/2008","781.4","798.0","801.9","763.0","8.45K","-2.07%"
"07/24/2008","797.9","840.0","840.0","790.5","8.55K","-5.00%"
"07/23/2008","839.9","874.0","875.0","836.2","7.02K","-4.10%"
"07/22/2008","875.8","886.0","889.6","872.1","3.53K","-0.91%"
"07/21/2008","883.8","877.4","894.4","876.6","4.03K","0.86%"
"07/19/2008","876.3","876.2","877.3","875.0","0.16K","-0.10%"
"07/18/2008","877.2","886.3","894.5","865.5","5.51K","-1.17%"
"07/17/2008","887.6","890.0","897.5","880.1","5.51K","-0.16%"
"07/16/2008","889.0","902.0","906.5","883.0","5.27K","-1.40%"
"07/15/2008","901.6","905.0","911.8","895.0","5.85K","-0.18%"
"07/14/2008","903.2","938.0","955.0","896.5","10.89K","-3.32%"
"07/12/2008","934.2","933.5","935.0","930.0","0.18K","-0.05%"
"07/11/2008","934.7","944.8","961.5","925.0","8.52K","-0.51%"
"07/10/2008","939.5","938.0","966.0","930.0","9.57K","0.75%"
"07/09/2008","932.5","902.0","936.0","896.5","5.84K","3.50%"
"07/08/2008","901.0","912.0","916.5","896.0","3.33K","-1.48%"
"07/07/2008","914.5","894.0","918.0","888.5","5.12K","1.72%"
"07/05/2008","899.0","900.5","902.5","896.0","0.14K","-0.33%"
"07/04/2008","902.0","915.5","922.5","893.5","4.42K","-1.20%"
"07/03/2008","913.0","938.0","941.5","905.0","6.05K","-2.77%"
"07/02/2008","939.0","946.5","954.5","920.0","7.30K","-1.05%"
"07/01/2008","949.0","960.0","974.5","943.0","5.52K","1.99%"
"06/30/2008","930.5","924.5","938.0","914.5","3.79K","0.98%"
"06/28/2008","921.5","924.0","925.0","920.0","0.31K","-0.43%"
"06/27/2008","925.5","930.0","943.0","923.5","2.99K","-0.59%"
"06/26/2008","931.0","934.0","955.0","923.0","6.18K","-0.11%"
"06/25/2008","932.0","927.0","935.0","924.0","3.00K","0.81%"
"06/24/2008","924.5","940.0","949.0","922.0","5.64K","-1.81%"
"06/23/2008","941.5","970.0","975.0","933.0","5.49K","-3.19%"
"06/21/2008","972.5","974.0","975.0","971.0","0.08K","0.15%"
"06/20/2008","971.0","965.0","983.0","959.0","4.51K","0.88%"
"06/19/2008","962.5","1,002.5","1,009.5","956.5","8.33K","-4.13%"
"06/18/2008","1,004.0","1,035.0","1,044.5","988.0","9.20K","-3.09%"
"06/17/2008","1,036.0","1,033.5","1,046.5","1,015.0","6.37K","0.10%"
"06/16/2008","1,035.0","1,036.5","1,049.5","1,020.0","6.63K","-0.10%"
"06/14/2008","1,036.0","1,034.5","1,038.0","1,033.0","0.11K","0.29%"
"06/13/2008","1,033.0","1,064.0","1,073.5","1,030.0","8.41K","-2.32%"
"06/12/2008","1,057.5","1,002.0","1,058.0","1,002.0","11.65K","5.96%"
"06/11/2008","998.0","993.0","1,012.5","980.0","7.40K","0.71%"
"06/10/2008","991.0","945.0","1,002.0","931.0","10.01K","4.70%"
"06/09/2008","946.5","963.5","963.5","926.0","5.77K","-1.30%"
"06/07/2008","959.0","957.0","964.5","950.0","0.42K","0.42%"
"06/06/2008","955.0","990.0","1,006.0","936.5","8.43K","-3.05%"
"06/05/2008","985.0","969.0","1,000.0","967.5","6.27K","1.86%"
"06/04/2008","967.0","952.0","975.0","941.5","5.15K","1.63%"
"06/03/2008","951.5","940.0","970.0","937.0","5.69K","0.95%"
"06/02/2008","942.5","935.0","944.5","916.5","5.15K","0.59%"
"05/31/2008","937.0","936.0","939.0","932.0","0.13K","-0.58%"
"05/30/2008","942.5","941.0","988.0","927.0","2.25K","0.16%"
